name,kd_differential,str_differential,td_differential,sub_differential,winrate,winstreak,losestreak,totalwins,totalfights,titlefights,titlewins,age_deviation,opp_avg_elo,elo,dob,kowin,koloss,subwin,subloss,udecwin,udecloss,mdecwin,mdecloss,sdecwin,sdecloss
Hitomi Akano,-0.3333333333333333,-16.166666666666668,-2.0,0.16666666666666666,0.3333333333333333,0,1,2,6,1,0,4567,1033.1290151117325,981.0375525829958,"Jul 27, 1974",1,1,1,1,0,2,0,0,0,0
Omari Akhmedov,-0.0625,1.1875,1.0,-0.375,0.625,0,1,10,16,0,0,3200,1040.049530398203,1079.5058129043061,"Oct 12, 1987",2,3,1,1,5,1,0,0,1,1
Yoshihiro Akiyama,-0.06451612903225806,-1.2580645161290323,0.9032258064516129,0.3548387096774194,0.7096774193548387,0,1,22,31,0,0,5607,1021.8407315469013,1124.417924123326,"Jul 29, 1975",6,5,7,6,1,2,0,0,1,1
Rostem Akman,-0.6666666666666666,-28.666666666666668,0.6666666666666666,0.0,0.0,0,3,0,3,0,0,1027,1038.4381597341853,957.4051307398049,"Dec 19, 1991",0,0,0,0,1,2,0,0,0,0
Razak Al-Hassan,0.0,0.6666666666666666,-1.0,-0.6666666666666666,0.0,0,3,0,3,0,0,900,1035.8232365252295,956.8078293426735,"May 14, 1982",0,0,1,1,0,0,0,0,0,1
Abdul-Kareem Al-Selwady,0.0,15.0,1.0,0.0,1.0,2,0,2,2,0,0,1229,976.7347507644877,1030.5304984710244,"Apr 10, 1995",0,0,0,0,1,1,0,0,0,0
Mostapha Al-Turk,-0.75,-20.25,-1.0,0.0,0.0,0,4,0,4,0,0,4294,1108.6253797899458,955.6473731811849,"Jul 14, 1973",1,2,0,0,0,1,0,0,0,0
Herdem Alacabek,0.0,-41.0,-2.0,0.0,0.0,0,2,0,2,0,0,1169,1023.2652492355122,969.4695015289755,"Jun 07, 1991",1,1,0,0,0,0,0,0,0,0
Javi Alanis,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,1051.7662769569924,972.1260693796585,--,1,1,0,0,0,0,0,0,0,0
Alatengheili,0.14285714285714285,-24.714285714285715,1.2857142857142858,-0.14285714285714285,0.7142857142857143,2,0,5,7,0,0,2103,995.0265578907986,1056.4205413050454,"Dec 14, 1991",1,0,0,0,2,2,0,0,1,0
Amir Albazi,0.3333333333333333,-1.3333333333333333,0.8333333333333334,0.6666666666666666,1.0,6,0,6,6,0,0,1686,998.6741565133561,1089.5191762272882,"Oct 27, 1993",1,0,2,1,1,0,0,0,1,0
Brett Albee,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,999.4741728015347,967.235521112667,--,1,1,0,0,0,0,0,0,0,0
John Albert,0.2857142857142857,1.5714285714285714,-0.2857142857142857,0.2857142857142857,0.2857142857142857,0,5,2,7,0,0,659,1008.4507144293772,952.3667268220541,"Oct 13, 1986",1,1,1,4,0,0,0,0,0,0
Junior Albini,-0.2857142857142857,-8.571428571428571,0.7142857142857143,-0.14285714285714285,0.2857142857142857,0,5,2,7,0,0,1208,1035.8248119048558,960.144860427614,"Mar 15, 1991",2,3,0,1,0,1,0,0,0,0
Wes Albritton,0.0,-21.0,-1.0,0.0,0.0,0,2,0,2,0,0,1825,1016.8188554550297,968.8506161832211,--,1,1,0,0,0,0,0,0,0,0
Aleksandra Albu,0.0,-8.833333333333334,0.16666666666666666,0.16666666666666666,0.5,0,3,3,6,0,0,1571,987.8222399098955,990.914901059543,"Jul 14, 1990",0,0,1,2,1,0,0,0,1,1
Israel Albuquerque,0.0,-19.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,1079.9058705783254,974.6937364077445,--,1,1,0,0,0,0,0,0,0,0
Juan Alcain,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,1825,922.1808382532375,1025.4940372415567,--,0,0,0,0,1,1,0,0,0,0
Iuri Alcantara,0.24,1.0,-0.28,0.4,0.56,0,1,14,25,0,0,4775,1020.7981557707631,1038.6874791419004,"Aug 04, 1980",4,3,3,1,5,6,0,0,1,0
Ildemar Alcantara,0.0,-6.818181818181818,1.5454545454545454,0.7272727272727273,0.6363636363636364,0,1,7,11,0,0,2802,988.579584606889,1026.282035465795,"Nov 18, 1982",0,0,1,1,2,4,0,0,2,1
Alfonso Alcarez,0.0,-14.0,1.0,-1.0,0.0,0,0,0,2,0,0,1573,1028.491067542322,1002.6764882089988,"Jun 10, 1970",0,0,0,0,0,0,0,0,0,0
Gilbert Aldana,0.0,-19.5,0.0,-0.5,0.0,0,4,0,4,0,0,1419,1043.8709044279285,945.2374972907763,"Aug 25, 1977",2,2,0,0,0,0,0,0,0,0
Irene Aldana,0.07142857142857142,-10.928571428571429,-0.9285714285714286,0.21428571428571427,0.5714285714285714,0,1,8,14,1,0,3734,1029.5273795077587,1049.9271695012985,"Mar 26, 1988",3,0,1,0,3,4,0,0,1,2
Hector Aldana,-0.6,-13.8,0.6,0.0,0.0,0,5,0,5,0,0,2253,1036.435211416751,931.6530321335762,"Aug 17, 1988",1,2,0,0,1,1,0,0,0,0
Jose Alday,0.0,0.0,-3.0,0.0,0.0,0,2,0,2,0,0,1826,1023.2652492355122,969.4695015289755,"Sep 14, 1991",0,0,0,0,0,0,0,0,1,1
Jose Aldo,0.3125,0.3125,0.0625,0.125,0.78125,0,1,25,32,15,11,4004,1070.2144193997613,1176.4426675488935,"Sep 09, 1986",11,8,0,0,10,2,0,0,0,1
JJ Aldrich,0.0,-6.9375,-0.4375,-0.0625,0.625,2,0,10,16,0,0,2205,1005.8836220478058,1055.43881433468,"Sep 29, 1992",1,1,0,1,8,3,0,0,1,1
Irina Alekseeva,0.0,9.0,0.0,1.0,1.0,2,0,2,2,0,0,2869,998.7504141289953,1032.5977937540317,"Jun 27, 1990",0,0,1,1,0,0,0,0,0,0
Talita Alencar,0.0,-52.0,3.0,0.0,0.0,0,0,0,2,0,0,2900,1000.0,1000.0,"Oct 17, 1990",0,0,0,0,0,0,0,0,0,0
Jim Alers,0.2,-18.2,1.2,0.2,0.4,0,2,2,5,0,0,1750,1002.7336569651659,997.0862549039394,"Oct 14, 1986",0,1,0,0,0,0,0,0,1,2
John Alessio,0.1111111111111111,-4.666666666666667,0.1111111111111111,0.6666666666666666,0.4444444444444444,0,5,8,18,3,0,2931,1027.5964938305588,981.8670011687983,"Jul 05, 1979",0,0,5,4,2,6,0,0,0,0
Houston Alexander,0.5714285714285714,3.142857142857143,-0.8571428571428571,-0.42857142857142855,0.42857142857142855,0,4,3,7,0,0,4647,1070.9791666274955,996.4781278643793,"Mar 22, 1972",2,3,0,1,0,1,0,0,0,0
Kenneth Alexander,0.0,-7.0,1.6666666666666667,-0.6666666666666666,0.0,0,1,0,3,0,0,2082,1005.4486611474873,984.0167022891123,"Sep 25, 1977",0,0,0,0,0,0,0,0,0,1
Lucas Alexander,0.3333333333333333,17.666666666666668,-1.3333333333333333,-0.6666666666666666,0.3333333333333333,1,0,1,3,0,0,977,1016.8642929535432,987.7057212568014,"Jul 28, 1995",0,0,1,1,1,0,0,0,0,0
Marcio Alexandre Junior,-0.3333333333333333,-11.0,-2.0,0.16666666666666666,0.3333333333333333,2,0,2,6,2,0,1565,1012.3098003774016,978.8599467300065,"May 05, 1989",0,0,2,2,0,1,0,0,0,1
Olaf Alfonso,-0.16666666666666666,-34.833333333333336,-1.5,0.6666666666666666,0.0,0,6,0,6,2,0,2730,1042.2393337547794,920.8828075459927,"Aug 06, 1974",1,3,0,0,0,0,0,0,1,1
Pablo Alfonso,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,638,976.7347507644877,1030.5304984710244,"May 09, 1983",0,0,1,1,0,0,0,0,0,0
Levi Alford,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,--,0,0,0,0,0,0,0,0,0,0
Bill Algeo,0.2,23.7,-2.1,-0.5,0.5,2,0,5,10,0,0,3413,1027.3361318585266,1021.5429818512155,"Jun 09, 1989",1,0,1,0,4,3,0,0,0,1
Royce Alger,-0.5,-3.5,1.0,-1.0,0.0,0,4,0,4,0,0,1825,1022.2505138607399,941.5955709086339,--,1,1,1,1,0,0,0,0,0,0
Amir Aliakbari,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Jun 10, 1984",0,0,0,0,0,0,0,0,0,0
Sultan Aliev,-0.4,-8.0,1.0,-0.2,0.4,1,0,2,5,0,0,3508,1027.1346914825276,993.56591089104,"Sep 17, 1984",1,2,0,0,1,0,0,0,1,0
Nurullo Aliev,0.0,22.333333333333332,1.6666666666666667,-0.6666666666666666,1.0,3,0,3,3,0,0,1011,985.4239361020506,1045.9645694745357,"Dec 08, 2000",1,1,0,0,0,0,1,0,0,0
Ikram Aliskerov,0.3333333333333333,-5.666666666666667,0.6666666666666666,0.6666666666666666,1.0,3,0,3,3,0,0,1982,992.2010708145987,1046.9637232812076,"Dec 07, 1992",1,0,1,1,0,0,0,0,0,0
Leon Aliu,-1.0,-6.0,0.0,0.0,0.0,0,2,0,2,0,0,2996,1023.2652492355122,969.4695015289755,"Jul 14, 1989",1,1,0,0,0,0,0,0,0,0
John Allan,0.0,-24.2,-0.8,-0.8,0.0,0,4,0,5,0,0,1359,1032.2054097730083,946.1570096430826,"Feb 22, 1993",0,0,1,1,0,1,0,0,0,1
George Allen,0.0,-23.0,-3.0,-1.0,0.0,0,2,0,2,0,0,4176,1099.7134981502345,976.4502858237882,"Jan 13, 1967",0,0,0,0,1,1,0,0,0,0
Arnold Allen,0.25,4.833333333333333,-0.16666666666666666,0.0,0.9166666666666666,0,1,11,12,0,0,1550,1045.1525369015842,1147.1580735877403,"Jan 22, 1994",2,0,2,1,5,1,0,0,1,0
Brendan Allen,0.21428571428571427,0.0,-0.14285714285714285,0.8571428571428571,0.8571428571428571,5,0,12,14,0,0,915,1037.15359989959,1145.2612280443145,"Dec 28, 1995",1,2,7,1,3,0,0,0,0,0
Daniel Allen,0.0,26.0,2.0,0.0,1.0,2,0,2,2,0,0,2237,976.7347507644877,1030.5304984710244,"Aug 10, 1992",0,0,0,0,1,1,0,0,0,0
Ben Alloway,0.4,-6.2,-3.6,-0.6,0.4,0,3,2,5,0,0,2753,998.9140716847742,980.2245632731527,"Feb 19, 1981",1,1,0,1,1,1,0,0,0,0
Assu Almabayev,0.0,22.0,2.0,2.0,1.0,2,0,2,2,0,0,1659,1011.4225359474289,1033.7861090442339,"Jan 25, 1994",0,0,1,1,0,0,0,0,0,0
Ricardo Almeida,-0.17647058823529413,8.823529411764707,1.7647058823529411,0.47058823529411764,0.6470588235294118,0,1,11,17,0,0,3403,1036.1930468307023,1076.4056023648452,"Nov 29, 1976",1,1,3,2,5,3,0,0,0,1
Magno Almeida,0.0,-9.333333333333334,-2.0,3.3333333333333335,0.0,0,3,0,3,0,0,480,1016.4571405482305,954.4411757355879,"Jun 06, 1985",0,1,0,0,1,1,0,0,0,0
Thomas Almeida,-0.45454545454545453,4.090909090909091,-0.7272727272727273,0.0,0.5454545454545454,0,4,6,11,0,0,1707,1023.1996664357412,1007.1912981227723,"Jul 31, 1991",4,3,0,0,1,3,0,0,0,0
Ericka Almeida,0.0,-32.0,-2.3333333333333335,0.0,0.0,0,3,0,3,0,0,604,1025.864588794265,955.6421873181432,"Mar 05, 1989",0,0,0,0,1,2,0,0,0,0
Estefani Almeida,0.0,-44.0,-1.0,0.0,0.0,0,2,0,2,0,0,1765,1023.2652492355122,969.4695015289755,"Oct 17, 1988",0,0,0,0,1,1,0,0,0,0
Jailton Almeida,0.0,14.571428571428571,2.0,0.8571428571428571,1.0,7,0,7,7,0,0,2519,1004.3562270835688,1103.620041297879,"Jun 26, 1991",1,1,4,1,0,0,0,0,0,0
Lucas Almeida,0.25,-4.75,-1.0,-0.25,0.25,0,1,1,4,0,0,2700,1032.8448786456538,975.5270881559596,"Jan 31, 1991",1,0,0,1,1,1,0,0,0,0
Cesar Almeida,0.0,43.0,-3.0,-1.0,1.0,2,0,2,2,0,0,3796,976.7347507644877,1030.5304984710244,"Mar 23, 1988",0,0,0,0,1,1,0,0,0,0
Mauricio Alonso,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Feb 27, 1980",0,0,0,0,0,0,0,0,0,0
Sarah Alpar,0.0,-42.4,-0.2,0.4,0.4,0,3,2,5,0,0,1942,1004.9189951199063,981.6839570665098,"Jun 01, 1991",0,1,1,1,1,1,0,0,0,0
Ali AlQaisi,0.0,7.333333333333333,1.6666666666666667,-0.3333333333333333,0.0,0,3,0,3,0,0,1850,991.7789852770819,950.9374469731365,"Sep 23, 1990",0,0,0,0,0,1,0,0,1,1
Rico Altamirano,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,1825,1042.4630429271665,1036.6676911194863,--,0,0,0,0,1,1,0,0,0,0
Victor Altamirano,0.0,15.166666666666666,-1.0,0.0,0.6666666666666666,0,1,4,6,0,0,2694,1004.0388926015049,1027.7789919850934,"Jan 23, 1991",1,0,0,0,1,1,0,0,1,2
Mike Altman,-1.0,-2.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,1023.2652492355122,969.4695015289755,--,1,1,0,0,0,0,0,0,0,0
Patricia Alujas,0.0,-31.0,-1.0,-1.0,0.0,0,2,0,2,0,0,863,994.7734619258493,966.7944528546583,"May 08, 1996",0,0,1,1,0,0,0,0,0,0
Sean Alvarez,0.0,-16.0,0.0,0.0,0.0,0,2,0,2,0,0,2483,994.7734619258493,966.7944528546583,"Jul 14, 1971",1,1,0,0,0,0,0,0,0,0
Eddie Alvarez,-0.2857142857142857,1.6428571428571428,1.9285714285714286,-0.6428571428571429,0.6428571428571429,0,1,9,14,2,1,3492,1102.7762874519642,1104.9920651888165,"Jan 11, 1984",4,3,1,1,1,1,0,0,2,0
Jaime Alvarez,0.0,-27.0,0.0,0.0,1.0,2,0,2,2,0,0,1627,976.7347507644877,1030.5304984710244,"Mar 08, 1988",0,0,0,0,1,1,0,0,0,0
Joel Alvarez,0.0,-0.7777777777777778,-1.1111111111111112,0.4444444444444444,0.6666666666666666,1,0,6,9,0,0,1974,1015.9942463555843,1052.3170803426283,"Mar 02, 1993",2,2,3,0,1,1,0,0,0,0
Thiago Alves,0.18181818181818182,3.1818181818181817,-0.8484848484848485,-0.2727272727272727,0.5454545454545454,0,2,18,33,1,0,4089,1052.688176600248,1021.2272388671405,"Oct 03, 1983",9,5,2,4,5,7,0,0,1,0
Anthony Alves,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,1023.2652492355122,969.4695015289755,--,1,1,0,0,0,0,0,0,0,0
Amilcar Alves,0.0,-23.333333333333332,-3.6666666666666665,-1.3333333333333333,0.0,0,3,0,3,0,0,923,1066.2713112505278,960.9761696550885,"Aug 08, 1988",0,0,1,1,0,1,0,0,0,0
Warlley Alves,0.11764705882352941,-6.823529411764706,0.7647058823529411,0.5294117647058824,0.5882352941176471,0,3,10,17,2,2,2580,1027.587895526069,1026.909447132642,"Jan 04, 1991",3,3,3,2,2,3,0,0,0,1
Rafael Alves,0.0,-14.5,-0.6666666666666666,1.0,0.5,0,2,3,6,0,0,2666,1028.6866242297722,1002.8023067771767,"Nov 14, 1990",0,1,2,1,0,1,1,0,0,0
Sam Alvey,0.07142857142857142,-3.4642857142857144,-0.39285714285714285,-0.03571428571428571,0.42857142857142855,0,8,12,28,0,0,4116,1035.5328459248067,960.2354766199227,"May 06, 1986",5,5,2,2,5,4,0,0,2,2
Andre Amado,0.4,-29.0,-1.6,0.0,0.0,0,5,0,5,0,0,1825,1026.1085677759288,929.5597091379941,--,2,2,0,0,0,1,0,0,0,0
Adlan Amagov,0.14285714285714285,8.142857142857142,1.2857142857142858,0.0,0.8571428571428571,3,0,6,7,0,0,726,997.4263200987454,1072.4970118167541,"Oct 30, 1986",3,1,0,0,1,0,0,0,1,1
Maiara Amanajas dos Santos,-1.0,-65.0,0.0,0.0,0.0,0,2,0,2,0,0,2228,1023.2652492355122,969.4695015289755,"Jul 11, 1987",1,1,0,0,0,0,0,0,0,0
Rayanne Amanda,0.0,-48.0,1.0,0.0,0.0,0,2,0,2,0,0,813,1023.2652492355122,969.4695015289755,"Jun 08, 1995",0,0,0,0,1,1,0,0,0,0
Chris Amarante,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,1825,976.7347507644877,1030.5304984710244,--,0,0,1,1,0,0,0,0,0,0
Jimmy Ambriz,-1.0,-20.5,1.25,0.0,0.0,0,4,0,4,0,0,5540,1107.3049296907311,956.1358619679771,"Jan 26, 1970",1,2,0,1,0,0,0,0,0,0
JJ Ambrose,0.0,-9.0,-1.0,-2.0,0.0,0,2,0,2,0,0,1825,1079.9005448524363,974.693257780814,--,0,0,1,1,0,0,0,0,0,0
Alen Amedovski,-0.6,-19.0,-1.8,-0.2,0.0,0,5,0,5,0,0,3457,1024.1997459201189,928.8351799509932,"Apr 06, 1988",0,2,0,1,1,1,0,0,0,0
Hyder Amil,0.0,4.0,-5.0,1.0,1.0,2,0,2,2,0,0,3007,976.7347507644877,1030.5304984710244,"May 28, 1990",0,0,0,0,1,1,0,0,0,0
Makwan Amirkhani,-0.26666666666666666,-13.8,1.6666666666666667,0.0,0.5333333333333333,0,2,8,15,0,0,3423,1022.6496429441848,1005.299109049841,"Nov 08, 1988",1,4,4,1,1,2,0,0,2,0
Jaqueline Amorim,0.0,4.0,0.6666666666666666,3.3333333333333335,0.3333333333333333,1,0,1,3,0,0,1151,995.6254698489967,985.0286114567368,"Jun 24, 1995",1,0,0,0,1,1,0,0,0,0
Bertrand Amoussou,0.0,26.0,0.0,0.0,1.0,2,0,2,2,0,0,1825,976.7347507644877,1030.5304984710244,--,1,1,0,0,0,0,0,0,0,0
Karl Amoussou,0.0,-6.0,-1.0,0.3333333333333333,0.0,0,1,0,3,0,0,128,1045.4982372847046,989.5358766803112,"Nov 21, 1985",0,0,0,0,0,1,0,0,0,0
Eryk Anders,0.16666666666666666,-5.722222222222222,0.6666666666666666,-0.16666666666666666,0.5,0,1,9,18,0,0,4074,1038.3537686143036,1016.9250981773644,"Apr 21, 1987",4,2,0,1,2,4,0,0,1,3
Matt Andersen,0.0,-8.0,-1.0,0.0,0.0,0,2,0,2,0,0,5,1023.2652492355122,969.4695015289755,"May 29, 1971",1,1,0,0,0,0,0,0,0,0
Andy Anderson,0.0,-15.0,0.0,0.0,0.0,0,2,0,2,0,0,1555,1023.2652492355122,969.4695015289755,"Jul 16, 1974",1,1,0,0,0,0,0,0,0,0
Lowell Anderson,0.0,-11.0,-1.0,0.0,0.0,0,2,0,2,0,0,1825,1023.2652492355122,969.4695015289755,--,1,1,0,0,0,0,0,0,0,0
Corey Anderson,-0.23529411764705882,23.470588235294116,3.5294117647058822,-0.23529411764705882,0.7058823529411765,0,1,12,17,2,2,1978,1043.6000770825622,1102.059564257249,"Sep 22, 1989",3,5,0,0,7,1,0,0,0,1
Derek Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Feb 02, 1990",0,0,0,0,0,0,0,0,0,0
Megan Anderson,0.2,-7.6,-1.0,-0.4,0.5,0,1,5,10,1,0,2221,1025.9685874455306,1016.9841478794254,"Feb 11, 1990",2,1,2,3,1,1,0,0,0,0
Tatsuya Ando,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Apr 26, 1990",0,0,0,0,0,0,0,0,0,0
Alex Andrade,0.6666666666666666,-12.0,-2.0,0.0,0.0,0,3,0,3,0,0,960,1010.8540535281467,953.6424830978445,"May 14, 1974",0,0,0,0,0,1,0,0,0,0
Jessica Andrade,-0.037037037037037035,10.37037037037037,0.6296296296296297,-0.14814814814814814,0.5925925925925926,0,3,16,27,4,1,2512,1048.537543492682,1074.1704808325246,"Sep 25, 1991",6,4,3,5,6,1,0,0,1,1
Viscardi Andrade,0.4,7.0,0.6,0.2,0.8,2,0,4,5,0,0,2574,972.0410875567956,1040.0578560968765,"Mar 08, 1984",1,1,0,0,2,1,0,0,0,0
Jermaine Andre,0.0,-2.0,-0.6666666666666666,-0.3333333333333333,0.6666666666666666,4,0,4,6,0,0,1825,991.624880587704,1032.9715309351552,--,3,3,0,0,0,0,0,0,0,0
Juan Andres Luna,-1.0,4.0,0.0,0.0,0.0,0,2,0,2,0,0,712,1023.2652492355122,969.4695015289755,"Aug 20, 1995",0,0,0,0,0,0,0,0,1,1
Fellipe Andrew,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Oct 24, 1994",0,0,0,0,0,0,0,0,0,0
Dylan Andrews,0.6666666666666666,-1.0,0.0,-0.5,0.5,0,3,3,6,0,0,3834,987.2047251258297,990.2482001690307,"Nov 15, 1979",2,3,0,1,0,0,0,0,0,0
Reese Andy,0.0,-7.333333333333333,-1.0,0.0,0.0,0,3,0,3,0,0,3930,1100.617348731006,965.5252935668836,"Mar 31, 1973",0,1,0,0,1,1,0,0,0,0
Angga,0.0,-2.0,-2.0,-2.0,0.0,0,2,0,2,0,0,3076,1023.2652492355122,969.4695015289755,"Jan 13, 1989",1,1,0,0,0,0,0,0,0,0
Julius Anglickas,0.0,37.0,2.0,1.0,1.0,2,0,2,2,0,0,1123,948.2337230430078,1027.8739306203415,"Jul 23, 1991",0,0,1,1,0,0,0,0,0,0
Collin Anglin,-0.5,2.75,1.75,0.0,0.5,0,2,2,4,0,0,1368,1013.8075551649089,999.7205654202758,"Feb 20, 1993",0,2,0,0,1,1,0,0,0,0
